has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://google.com,1
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,http://microsoft.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,77,9,0,0,0,83,0,0,2,3,0,0,0,0,0,0,22,0,0,0,0,1,0,http://instagram.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,14,10,9,19,1,1,1,3754,0,42,28,95,1,1,0,0,0,0,12,1,0,0,0,13,0,http://workers.dev,1
1,0,1,0,0,1,0,0,0,0,0,0,16,0,11,100,0,0,8,38,10,72,1,1,1,9133,16,85,12,161,0,1,0,0,1,0,16,1,0,1,10,19,0,http://doubleclick.net,1
1,1,1,0,0,1,0,1,1,0,1,13,47,0,0,111,0,0,37,27,61,77,1,1,1,10414,23,138,24,374,1,1,1,1,0,1,50,1,0,0,0,161,0,http://github.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,47,23,0,0,0,36,0,4,1,5,0,0,0,0,0,0,13,0,0,0,0,7,0,http://bing.com,1
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,21,0,0,76,15,18,65,1,1,1,4054,0,79,28,238,0,1,0,0,0,0,17,1,0,1,77,189,0,http://whatsapp.net,1
1,0,1,0,0,1,0,0,0,0,0,0,29,1,0,85,0,0,31,22,16,42,1,1,1,6769,15,74,14,335,0,0,0,0,1,0,21,1,0,0,0,24,0,http://fastly.net,1
1,1,1,0,0,1,0,1,0,0,0,2,19,0,4,31,0,0,5,9,9,58,1,1,1,3455,7,19,1,153,0,1,0,0,0,0,21,0,0,0,0,64,0,http://netflix.com,1
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,http://sharepoint.com,1
1,1,1,0,0,1,0,0,0,0,0,1,9,0,0,60,0,0,182,19,15,55,1,1,0,3892,0,76,15,69,18,1,1,0,1,0,17,1,0,0,0,55,0,http://wordpress.org,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,0,0,0,140,0,14,0,291,0,0,0,0,1,1,7,0,0,0,0,1,0,http://youtu.be,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,6,0,0,0,75,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,1,0,http://icloud.com,1
1,1,1,0,0,1,0,0,0,0,1,1,3,0,0,170,0,0,20,45,42,66,1,1,1,14016,0,283,48,596,0,0,1,0,1,1,24,0,0,1,1,15,0,http://digicert.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,46,9,0,0,0,69,0,1,0,5,0,0,0,0,0,0,35,0,0,0,0,0,0,http://pinterest.com,1
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,http://windows.net,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://googlesyndication.com,1
1,1,1,0,0,1,0,0,0,0,1,2,12,0,0,0,0,0,2,21,8,52,1,1,0,1188,11,8,36,49,0,1,1,0,0,0,17,0,0,0,1,18,0,http://skype.com,1
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,22,0,0,76,16,18,65,1,1,1,4195,0,81,28,238,0,1,0,0,0,0,17,1,0,1,77,195,0,http://whatsapp.com,1
1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0,11,8,5,63,0,0,0,1449,4,17,6,15,0,0,0,0,0,0,15,1,0,0,0,0,0,http://ntp.org,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,116,6,0,0,0,242,0,0,0,8,0,1,0,0,0,0,47,0,0,0,0,0,0,http://roblox.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,3,0,0,0,27,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,http://msn.com,1
1,1,1,0,0,1,0,0,0,0,0,1,10,0,7,137,0,0,12,13,9,175,1,1,0,12588,2,142,8,110,0,0,1,0,1,1,8,1,0,1,0,93,0,http://goo.gl,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://adobe.com,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,41,0,9,40,0,1,0,1847,0,94,86,460,0,0,0,0,0,0,24,0,0,0,0,90,0,http://spotify.com,1
1,0,1,0,0,1,0,0,0,0,1,0,41,0,0,93,0,0,40,42,93,31,1,1,1,7569,35,204,43,497,1,1,0,0,0,0,38,1,0,1,29,274,0,http://vimeo.com,1
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,46,3,33,0,1,0,0,510,0,6,1,10,0,0,1,0,0,0,15,0,0,0,0,3,0,http://x.com,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://tiktok.com,1
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,http://office365.com,1
1,1,1,0,0,1,0,0,1,0,0,19,5,0,0,89,0,0,5,63,22,59,1,1,1,11245,4,196,82,360,6,1,1,0,0,0,22,1,0,1,3,37,0,http://bit.ly,1
1,1,1,0,0,1,0,1,0,0,0,2,10,0,0,102,0,0,32,70,7,77,1,1,1,15191,5,148,8,220,0,1,1,0,0,1,23,1,0,0,0,26,0,http://gandi.net,1
1,1,1,0,0,1,0,0,1,0,0,9,29,0,0,325,0,0,25,44,12,30,1,1,1,59575,0,370,73,618,0,1,0,0,0,0,27,1,0,0,0,473,0,http://zoom.us,1
1,1,1,0,0,1,0,0,1,0,0,2,6,0,23,105,0,0,40,15,25,56,1,1,1,6861,0,156,27,327,0,1,1,0,0,0,27,1,0,1,32,74,0,http://wordpress.com,1
1,1,1,0,0,1,0,0,1,0,0,103,60,0,2,79,0,0,18,55,24,55,1,1,0,11498,5,258,219,494,1,1,1,0,1,1,31,1,0,1,3,167,0,http://samsung.com,1
